                  pl_name,               hostname,sy_snum,sy_pnum, pl_orbsmax,pl_rade, pl_bmasse, st_teff, st_rad,     sy_dist
                 14 And b,                 14 And,      1,      1,   0.830000,unknown,1525.50000, 4813.00,  11.00,  75.4392000
                 14 Her b,                 14 Her,      1,      2,   2.930000,unknown,1481.08780, 5338.00,   0.93,  17.9323000
               16 Cyg B b,               16 Cyg B,      3,      1,   1.660000,unknown, 565.73740, 5750.00,   1.13,  21.1397000
                 17 Sco b,                 17 Sco,      1,      1,   1.450000,unknown,1373.01872, 4157.00,  25.92, 124.9530000
                 18 Del b,                 18 Del,      2,      1,   2.600000,unknown,3273.50000, 4979.00,   8.50,  76.2220000
  1RXS J160929.1-210524 b,  1RXS J160929.1-210524,      1,      1, 330.000000,unknown,3000.00000, 4060.00,unknown, 139.1350000
                 24 Boo b,                 24 Boo,      1,      1,   0.190000,unknown, 289.22530, 4893.00,  10.64,  95.9863000
                 24 Sex b,                 24 Sex,      1,      2,   1.333000,unknown, 632.46000, 5098.00,   4.90,  72.0691000
                 24 Sex c,                 24 Sex,      1,      2,   2.080000,unknown, 273.32000, 5098.00,   4.90,  72.0691000
2MASS J22362452+4751425 b,2MASS J22362452+4751425,      1,      1, 230.000000,unknown,3972.87500, 4045.00,unknown,  69.5737000
                  4 UMa b,                  4 UMa,      1,      1,   0.870000,unknown,2256.50000, 4415.00,  18.11,  73.4603000
                 42 Dra b,                 42 Dra,      2,      1,   1.190000,unknown,1233.13000, 4200.00,  22.03,  90.6545000
                 47 UMa b,                 47 UMa,      1,      3,   2.100000,unknown, 804.08000, 5872.00,   1.21,  13.7967000
                 47 UMa c,                 47 UMa,      1,      3,   3.600000,unknown, 171.62100, 5872.00,   1.21,  13.7967000
                 47 UMa d,                 47 UMa,      1,      3,  11.600000,unknown, 521.22000, 5872.00,   1.21,  13.7967000
                 51 Peg b,                 51 Peg,      1,      1,   0.052700,unknown, 150.00900, 5758.00,   1.18,  15.4614000
                 55 Cnc b,                 55 Cnc,      2,      5,   0.113400,unknown, 255.40000, 5172.00,   0.94,  12.5855000
                 55 Cnc c,                 55 Cnc,      2,      5,   0.237300,unknown,  51.20000, 5172.00,   0.94,  12.5855000
                 55 Cnc d,                 55 Cnc,      2,      5,   5.957000,unknown, 991.60000, 5172.00,   0.94,  12.5855000
                 55 Cnc e,                 55 Cnc,      2,      5,   0.015440,  1.875,   7.99000, 5172.00,   0.94,  12.5855000
                 55 Cnc f,                 55 Cnc,      2,      5,   0.770800,unknown,  47.80000, 5172.00,   0.94,  12.5855000
                  6 Lyn b,                  6 Lyn,      1,      1,   2.110000,unknown, 638.83830, 4938.00,   5.20,  54.6599000
                 61 Vir b,                 61 Vir,      1,      3,   0.050201,unknown,   5.10000, 5577.00,   0.96,   8.5033200
                 61 Vir c,                 61 Vir,      1,      3,   0.217500,unknown,  18.20000, 5577.00,   0.96,   8.5033200
                 61 Vir d,                 61 Vir,      1,      3,   0.476000,unknown,  22.90000, 5577.00,   0.96,   8.5033200
                  7 CMa b,                  7 CMa,      1,      2,   1.758000,unknown, 587.98550, 4826.00,   4.87,  19.8101000
                  7 CMa c,                  7 CMa,      1,      2,   2.153000,unknown, 276.51210, 4826.00,   4.87,  19.8101000
                 70 Vir b,                 70 Vir,      1,      1,   0.481000,unknown,2357.02728, 5495.00,   1.89,  17.9011000
                 75 Cet b,                 75 Cet,      2,      1,   2.100000,unknown, 953.49000, 4846.00,  10.50,  82.9613000
                  8 UMi b,                  8 UMi,      1,      1,   0.490000,unknown, 416.35730, 4847.00,  10.30, 162.5520000
                 81 Cet b,                 81 Cet,      1,      1,   2.500000,unknown,1684.40000, 4785.00,  11.00, 101.2600000
                 91 Aqr b,                 91 Aqr,      3,      1,   0.700000,unknown,1017.00000, 4665.00,  11.00,  44.0304000
             BD+03 2562 b,             BD+03 2562,      1,      1,   1.300000,unknown,2034.11200, 4095.00,  32.35,1070.6300000
             BD+14 4559 b,             BD+14 4559,      1,      1,   0.780000,unknown, 330.54320, 4864.00,   0.86,  49.3520000
             BD+15 2375 b,             BD+15 2375,      1,      1,   0.576000,unknown, 337.21763, 4649.00,   8.95, 768.0450000
             BD+15 2940 b,             BD+15 2940,      1,      1,   0.539000,unknown, 352.78000, 4796.00,  14.70, 426.4200000
             BD+20 2457 c,             BD+20 2457,      1,      2,   2.010000,unknown,3963.17000, 4137.00,  49.00,1539.7100000
              BD+20 274 b,              BD+20 274,      1,      1,   1.300000,unknown,1334.88600, 4296.00,  17.30,1322.5100000
              BD+20 594 b,              BD+20 594,      1,      1,    unknown,  2.578,  22.24810, 5766.00,   1.08, 179.4610000
              BD+45 564 b,              BD+45 564,      1,      1,   0.830000,unknown, 432.24663, 5004.00,unknown,  53.6220000
              BD+48 738 b,              BD+48 738,      1,      1,   1.000000,unknown, 289.22530, 4414.00,  11.00, 871.4930000
              BD+48 740 b,              BD+48 740,      1,      1,   1.700000,unknown, 540.31100, 4534.00,  10.33, 666.5890000
              BD+49 828 b,              BD+49 828,      1,      1,   4.200000,unknown, 508.50000, 4943.00,   7.60, 442.0420000
              BD+55 362 b,              BD+55 362,      1,      1,   0.780000,unknown, 228.83645, 5012.00,unknown,  52.5697000
             BD+63 1405 b,             BD+63 1405,      1,      1,   2.060000,unknown,1258.60049, 5000.00,unknown,  38.0473000
             BD-06 1339 b,             BD-06 1339,      1,      2,   0.042800,unknown,   8.50000, 4324.00,unknown,  20.2695000
             BD-06 1339 c,             BD-06 1339,      1,      2,   0.435000,unknown,  53.00000, 4324.00,unknown,  20.2695000
             BD-08 2823 b,             BD-08 2823,      1,      2,   0.060000,unknown,  12.71320, 4816.00,   0.71,  41.3342000
             BD-08 2823 c,             BD-08 2823,      1,      2,   0.680000,unknown, 104.00000, 4746.00,unknown,  41.3342000
             BD-10 3166 b,             BD-10 3166,      1,      1,   0.040000,unknown, 187.51970, 5393.00,   0.91,  84.4069000
             BD-11 4672 b,             BD-11 4672,      1,      2,   2.360000,unknown, 206.58950, 4550.00,   0.64,  27.1665000
             BD-11 4672 c,             BD-11 4672,      1,      2,   0.300000,unknown,  15.37000, 4550.00,   0.64,  27.1665000
             BD-13 2130 b,             BD-13 2130,      1,      1,   1.660000,unknown,3108.37740, 4545.00,  19.17, 925.2140000
               BD-17 63 b,               BD-17 63,      1,      1,   1.340000,unknown,1620.90000, 4714.00,   0.69,  34.4603000
                CoRoT-1 b,                CoRoT-1,      1,      1,    unknown, 16.700, 327.35000, 5950.00,   1.11, 787.9090000
               CoRoT-10 b,               CoRoT-10,      1,      1,   0.105500, 10.870, 874.00000, 5075.00,   0.79, 338.3860000
               CoRoT-11 b,               CoRoT-11,      1,      1,   0.043600, 16.030, 740.51000, 6440.00,   1.37, 655.0370000
               CoRoT-12 b,               CoRoT-12,      1,      1,   0.040160, 16.140, 291.43800, 5675.00,   1.12,1126.3700000
               CoRoT-13 b,               CoRoT-13,      1,      1,   0.051000,  9.920, 415.70400, 5945.00,   1.01,1148.9300000
               CoRoT-14 b,               CoRoT-14,      1,      1,   0.027000, 12.220,2415.40000, 6035.00,   1.21,1744.6000000
               CoRoT-16 b,               CoRoT-16,      1,      1,   0.061800, 13.110, 170.03200, 5650.00,   1.19, 732.4090000
               CoRoT-17 b,               CoRoT-17,      1,      1,   0.046100, 11.430, 772.29000, 5740.00,   1.59,1176.1200000
               CoRoT-18 b,               CoRoT-18,      1,      1,   0.029500, 14.680,1102.82000, 5440.00,   1.00, 764.8890000
               CoRoT-19 b,               CoRoT-19,      1,      1,   0.051800, 14.460, 352.78000, 6090.00,   1.65, 790.6630000
                CoRoT-2 b,                CoRoT-2,      2,      1,   0.027980, 16.432,1102.82000, 5625.00,   0.91, 213.2830000
               CoRoT-21 b,               CoRoT-21,      1,      1,   0.041700, 14.572, 718.29580, 6200.00,   1.95,     unknown
               CoRoT-22 b,               CoRoT-22,      1,      1,   0.092000,  4.880,  12.20000, 5939.00,   1.14, 627.1580000
               CoRoT-23 b,               CoRoT-23,      1,      1,   0.048000, 11.770, 889.90000, 5900.00,   1.61,1060.9700000
               CoRoT-24 b,               CoRoT-24,      1,      2,   0.056000,  3.700,   5.70000, 4950.00,   0.86, 591.5550000
               CoRoT-24 c,               CoRoT-24,      1,      2,   0.098000,  5.000,  28.00000, 4950.00,   0.86, 591.5550000
               CoRoT-25 b,               CoRoT-25,      1,      1,   0.057800, 12.110,  85.81000, 6040.00,   1.19,1103.4800000
               CoRoT-26 b,               CoRoT-26,      1,      1,   0.052600, 14.120, 165.26000, 5590.00,   1.79,1045.1800000
               CoRoT-27 b,               CoRoT-27,      1,      1,   0.047600, 11.287,3302.11000, 5900.00,   1.08,1010.2800000
               CoRoT-28 b,               CoRoT-28,      1,      1,   0.060300, 10.705, 153.82972, 5150.00,   1.78, 766.1830000
               CoRoT-29 b,               CoRoT-29,      1,      1,   0.038600, 10.088, 270.15550, 5260.00,   0.90, 806.5070000
               CoRoT-30 b,               CoRoT-30,      1,      1,   0.084400, 11.310, 921.70700, 5650.00,   0.91,1032.2300000
               CoRoT-31 b,               CoRoT-31,      1,      1,   0.058600, 16.365, 266.97720, 5700.00,   2.15,2005.7600000
                CoRoT-4 b,                CoRoT-4,      1,      1,   0.090000, 13.340, 228.83000, 6190.00,   1.17, 726.4120000
                CoRoT-5 b,                CoRoT-5,      1,      1,   0.049470, 15.558, 148.42000, 6100.00,   1.19, 882.4720000
                CoRoT-6 b,                CoRoT-6,      1,      1,   0.085500, 13.068, 940.74000, 6090.00,   1.02, 645.2940000
                CoRoT-7 b,                CoRoT-7,      1,      2,    unknown,  1.681,   4.07661, 5275.00,   0.83, 159.9060000
                CoRoT-7 c,                CoRoT-7,      1,      2,   0.046000,unknown,   8.40000, 5256.00,   0.86, 159.9060000
                CoRoT-8 b,                CoRoT-8,      1,      1,   0.063000,  6.390,  69.92000, 5080.00,   0.77, 322.0370000
                CoRoT-9 b,                CoRoT-9,      2,      1,   0.402100, 11.949, 266.97720, 5625.00,   0.96, 412.9800000
      CoRoTID 223977153 b,      CoRoTID 223977153,      1,      1,   0.071000,  6.389,  47.67450, 5970.00,   0.79, 576.6830000
                 DMPP-1 b,                 DMPP-1,      1,      4,   0.146200,unknown,  24.27000, 6196.00,   1.26,  62.5388000
                 DMPP-1 c,                 DMPP-1,      1,      4,   0.073300,unknown,   9.60000, 6196.00,   1.26,  62.5388000
                 DMPP-1 d,                 DMPP-1,      1,      4,   0.042200,unknown,   3.35000, 6196.00,   1.26,  62.5388000
                 DMPP-1 e,                 DMPP-1,      1,      4,   0.065100,unknown,   4.13000, 6196.00,   1.26,  62.5388000
                 DMPP-2 b,                 DMPP-2,      1,      1,   0.066400,unknown, 138.89171, 6500.00,   1.78, 137.9400000
               DMPP-3 A b,               DMPP-3 A,      2,      1,   0.066200,unknown,   2.58000, 5138.00,   0.91,  45.2300000
               DS Tuc A b,               DS Tuc A,      2,      1,    unknown,  5.700,   unknown, 5428.00,   0.96,  44.0622000
         EPIC 201427007 b,         EPIC 201427007,      1,      1,    unknown,  1.500,   unknown, 5633.00,   0.94, 706.3910000
         EPIC 201595106 b,         EPIC 201595106,      1,      1,    unknown,  1.300,   unknown, 5820.00,   0.93, 232.1000000
        EPIC 201757695.02,         EPIC 201757695,      1,      1,   0.029600,  0.908,   unknown, 4520.00,   0.66,     unknown
         EPIC 201841433 b,         EPIC 201841433,      1,      1,   0.035000,  1.040,   unknown, 5053.00,   0.63, 436.4880000
         EPIC 205950854 c,                 K2-168,      1,      2,    unknown,  1.310,   unknown, 5502.70,   0.83, 243.9350000
         EPIC 206024342 c,         EPIC 206024342,      1,      3,    unknown,  1.400,   unknown, 5724.00,   1.10, 369.8880000
         EPIC 206024342 d,         EPIC 206024342,      1,      3,    unknown,  2.600,   unknown, 5724.00,   1.10, 369.8880000
         EPIC 206042996 b,         EPIC 206042996,      1,      2,    unknown,  1.700,   unknown, 4114.00,   0.50, 451.7690000
         EPIC 206042996 c,         EPIC 206042996,      1,      2,    unknown,  1.200,   unknown, 4114.00,   0.50, 451.7690000
         EPIC 206317286 c,         EPIC 206317286,      1,      2,    unknown,  2.094,   unknown, 4752.00,   0.76, 314.3500000
         EPIC 211822797 b,         EPIC 211822797,      1,      1,   0.119500,  1.920,   unknown, 4057.00,   0.58, 186.1970000
         EPIC 211945201 b,         EPIC 211945201,      1,      1,   0.149300,  5.760,   unknown, 6069.00,   1.39, 181.6900000
         EPIC 212297394 b,         EPIC 212297394,      1,      2,    unknown,  1.480,   unknown, 5171.00,   0.80, 418.3950000
         EPIC 212297394 c,         EPIC 212297394,      1,      2,    unknown,  2.270,   unknown, 5171.00,   0.80, 418.3950000
         EPIC 212587672 b,         EPIC 212587672,      1,      2,    unknown,  1.260,   unknown, 6004.00,   0.98, 320.0700000
         EPIC 212587672 c,         EPIC 212587672,      1,      2,    unknown,  2.320,   unknown, 6004.00,   0.98, 320.0700000
         EPIC 212624936 b,         EPIC 212624936,      1,      2,    unknown,  1.200,   unknown, 5765.00,   0.93, 561.9290000
         EPIC 212624936 c,         EPIC 212624936,      1,      2,    unknown,  2.300,   unknown, 5765.00,   0.93, 561.9290000
         EPIC 212737443 b,         EPIC 212737443,      1,      2,   0.098000,  2.586,   unknown, 4684.00,   0.67, 336.2500000
         EPIC 212737443 c,         EPIC 212737443,      1,      2,   0.280000,  2.690,   unknown, 4684.00,   0.67, 336.2500000
         EPIC 220492298 b,         EPIC 220492298,      1,      1,    unknown,  0.990,   unknown, 5620.00,   0.89, 624.5120000
         EPIC 220554210 c,                 K2-282,      1,      2,    unknown,  1.600,   unknown, 5499.00,   1.00, 496.2890000
         EPIC 220674823 b,         EPIC 220674823,      1,      2,    unknown,  1.600,   unknown, 5613.00,   0.95, 244.5900000
         EPIC 220674823 c,         EPIC 220674823,      1,      2,    unknown,  2.200,   unknown, 5613.00,   0.95, 244.5900000
         EPIC 246851721 b,         EPIC 246851721,      2,      1,   0.072290, 11.781, 953.49000, 6202.00,   1.59, 372.6320000
         EPIC 249893012 b,         EPIC 249893012,      1,      3,   0.047000,  1.950,   8.75000, 5430.00,   1.71, 321.2960000
         EPIC 249893012 c,         EPIC 249893012,      1,      3,   0.130000,  3.670,  14.67000, 5430.00,   1.71, 321.2960000
         EPIC 249893012 d,         EPIC 249893012,      1,      3,   0.220000,  3.940,  10.18000, 5430.00,   1.71, 321.2960000
                 GJ 143 b,                 GJ 143,      1,      2,   0.191500,  2.610,  22.70000, 4640.00,   0.69,  16.3200000
               GJ 160.2 b,               GJ 160.2,      1,      1,   0.053000,unknown,  10.20000, 4347.00,unknown,  25.8557000
                GJ 3021 b,                GJ 3021,      2,      1,   0.490000,unknown,1071.04000, 5540.00,   0.90,  17.5559000
               GJ 338 B b,               GJ 338 B,      2,      1,   0.141000,unknown,  10.27000, 4005.00,   0.58,   6.3325600
               GJ 414 A b,               GJ 414 A,      2,      2,   0.232400,  2.630,   7.60000, 4120.00,   0.68,  11.8893000
               GJ 414 A c,               GJ 414 A,      2,      2,   1.400000,  8.400,  53.83000, 4120.00,   0.68,  11.8893000
