                  pl_name,               hostname,sy_snum,sy_pnum, pl_orbsmax,pl_rade, pl_bmasse, st_teff, st_rad,     sy_dist
                 14 And b,                 14 And,      1,      1,   0.830000,unknown,1525.50000, 4813.00,  11.00,  75.4392000
                 14 Her b,                 14 Her,      1,      2,   2.930000,unknown,1481.08780, 5338.00,   0.93,  17.9323000
               16 Cyg B b,               16 Cyg B,      3,      1,   1.660000,unknown, 565.73740, 5750.00,   1.13,  21.1397000
                 17 Sco b,                 17 Sco,      1,      1,   1.450000,unknown,1373.01872, 4157.00,  25.92, 124.9530000
                 18 Del b,                 18 Del,      2,      1,   2.600000,unknown,3273.50000, 4979.00,   8.50,  76.2220000
  1RXS J160929.1-210524 b,  1RXS J160929.1-210524,      1,      1, 330.000000,unknown,3000.00000, 4060.00,unknown, 139.1350000
                 24 Boo b,                 24 Boo,      1,      1,   0.190000,unknown, 289.22530, 4893.00,  10.64,  95.9863000
                 24 Sex b,                 24 Sex,      1,      2,   1.333000,unknown, 632.46000, 5098.00,   4.90,  72.0691000
                 24 Sex c,                 24 Sex,      1,      2,   2.080000,unknown, 273.32000, 5098.00,   4.90,  72.0691000
                 2M0437 b,2MASS J04372171+2651014,      1,      1, 118.000000,unknown,1271.31363, 3100.00,   0.84, 128.4840000
2MASS J04414489+2301513 b,2MASS J04414489+2301513,      1,      1,  15.000000,unknown,2383.60000, unknown,unknown,     unknown
2MASS J12073346-3932539 b,2MASS J12073346-3932539,      1,      1,  55.000000,unknown,1589.15000, unknown,unknown,  64.3080000
2MASS J19383260+4603591 b,2MASS J19383260+4603591,      2,      3,    unknown,unknown, 591.16084,29564.00,   0.20, 396.3320000
2MASS J22362452+4751425 b,2MASS J22362452+4751425,      1,      1, 230.000000,unknown,3972.87500, 4045.00,unknown,  69.5737000
                  4 UMa b,                  4 UMa,      1,      1,   0.870000,unknown,2256.50000, 4415.00,  18.11,  73.4603000
                 42 Dra b,                 42 Dra,      2,      1,   1.190000,unknown,1233.13000, 4200.00,  22.03,  90.6545000
                 47 UMa b,                 47 UMa,      1,      3,   2.100000,unknown, 804.08000, 5872.00,   1.21,  13.7967000
                 47 UMa c,                 47 UMa,      1,      3,   3.600000,unknown, 171.62100, 5872.00,   1.21,  13.7967000
                 47 UMa d,                 47 UMa,      1,      3,  11.600000,unknown, 521.22000, 5872.00,   1.21,  13.7967000
                iot Dra b,                iot Dra,      1,      2,   1.453000,unknown,3756.73177, 4504.00,  11.79,  31.3283200
                kap CrB b,                kap CrB,      1,      1,   2.650000,unknown, 575.59013, 4871.00,   4.85,  30.0651000
                 mu Leo b,                 mu Leo,      1,      1,   1.100000,unknown, 762.80000, 4538.20,  11.40,  32.6081000
                ome Ser b,                ome Ser,      2,      1,   1.100000,unknown, 540.30000, 4770.00,  12.30,  76.7556000
                omi CrB b,                omi CrB,      1,      1,   0.830000,unknown, 476.74500, 4749.00,  10.50,  84.7883000
                omi UMa b,                omi UMa,      2,      1,   3.900000,unknown,1303.10300, 5242.00,  14.10,  54.9149000
                 pi Men c,               HD 39091,      1,      3,   0.068390,  2.042,   4.82000, 6037.00,   1.10,  18.2702000
                 pi Men d,               HD 39091,      1,      3,    unknown,unknown,  13.38000, 5998.00,   1.19,  18.2702000
            psi 1 Dra B b,            psi 1 Dra B,      3,      1,   4.430000,unknown, 486.27990, 6212.00,unknown,  22.7188000
                rho CrB c,                rho CrB,      1,      2,   0.412300,unknown,  25.00000, 5627.00,   1.36,  17.4671000
                tau Boo b,                tau Boo,      2,      1,   0.049000,unknown,1373.02560, 6466.27,   1.43,  15.6521000
                tau Cet e,                tau Cet,      1,      4,   0.538000,unknown,   3.93000, unknown,unknown,   3.6030400
                tau Cet f,                tau Cet,      1,      4,   1.334000,unknown,   3.93000, unknown,unknown,   3.6030400
                tau Cet g,                tau Cet,      1,      4,   0.133000,unknown,   1.75000, unknown,unknown,   3.6030400
                tau Cet h,                tau Cet,      1,      4,   0.243000,unknown,   1.83000, unknown,unknown,   3.6030400
                ups And b,                ups And,      2,      3,   0.059222,unknown, 218.53100, unknown,   1.56,  13.4054000
                ups And c,                ups And,      2,      3,   0.827774,unknown, 629.59500, unknown,   1.56,  13.4054000
                ups And d,                ups And,      2,      3,   2.513290,unknown,1313.22000, unknown,   1.56,  13.4054000
                ups Leo b,                ups Leo,      1,      1,   1.180000,unknown, 162.09249, 4836.00,  11.22,  52.5973000
                 xi Aql b,                 xi Aql,      1,      1,   0.680000,unknown, 890.00000, 4780.00,  12.00,  56.1858000
